Unnamed: 0,eventType,target.id,target.css,timeStamp,target.value,x,y,target.tagName,target.name,idx,Task,targetApp,target.workbookName,target.sheetName,url,content,target.innerText
85,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T10:35:56.637Z,new_structural_unit,1043.816665649414,384.0,INPUT,,2303,TF_02.csv,Fiori,,,,,
86,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T10:35:56.637Z,new_structural_unit,1043.816665649414,384.0,INPUT,,2303,TF_02.csv,Fiori,,,,,
87,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T10:35:56.637Z,new_structural_unit,1043.816665649414,384.0,INPUT,,2303,TF_02.csv,Fiori,,,,,
88,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][3]/*[name()='TD'][2]/*[name()='TEXTAREA'][1],td:nth-child(1) > textarea:nth-child(1),2022-07-22T10:35:56.721Z,,954.0,459.0,TEXTAREA,,2303,TF_02.csv,Fiori,,,,,
89,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][16]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][3]/*[name()='TD'][2]/*[name()='TEXTAREA'][1],td:nth-child(1) > textarea:nth-child(1),2022-07-22T10:36:03.304Z,this is a structural unit,1046.816665649414,466.8333129882813,TEXTAREA,,2303,TF_02.csv,Fiori,,,,,
90,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][16]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='EM'][1]/*[name()='BUTTON'][1],em:nth-child(1) > button:nth-child(1),2022-07-22T10:36:03.391Z,,1095.0,601.0,BUTTON,Übernehmen,2303,TF_02.csv,Fiori,,,,,Übernehmen
91,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][3]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='EM'][1]/*[name()='BUTTON'][1],em:nth-child(1) > button:nth-child(1),2022-07-22T10:36:05.434Z,,1824.0,53.0,BUTTON,&nbsp,2303,TF_02.csv,Fiori,,,,,&nbsp
107,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2],tr:nth-child(1) > td:nth-child(2),2022-07-22T10:35:48.728Z,,519.0,99.0,TD,,1603,TF_02.csv,Fiori,,,,,
108,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][12]/*[name()='UL'][1]/*[name()='LI'][2]/*[name()='A'][1],li:nth-child(1) > a:nth-child(1),2022-07-22T10:35:50.181Z,,541.0,153.0,A,,1603,TF_02.csv,Fiori,,,,,
109,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][12]/*[name()='UL'][1]/*[name()='LI'][2]/*[name()='A'][1],li:nth-child(1) > a:nth-child(1),2022-07-22T10:35:50.181Z,,541.0,153.0,A,,1603,TF_02.csv,Fiori,,,,,
110,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T10:35:51.832Z,,949.0,389.0,INPUT,,1603,TF_02.csv,Fiori,,,,,
111,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T10:35:56.637Z,new_structural_unit,1043.816665649414,384.0,INPUT,,1603,TF_02.csv,Fiori,,,,,
112,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][3]/*[name()='TD'][2]/*[name()='TEXTAREA'][1],td:nth-child(1) > textarea:nth-child(1),2022-07-22T10:35:56.721Z,,954.0,459.0,TEXTAREA,,1603,TF_02.csv,Fiori,,,,,
113,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][16]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][3]/*[name()='TD'][2]/*[name()='TEXTAREA'][1],td:nth-child(1) > textarea:nth-child(1),2022-07-22T10:36:03.304Z,this is a structural unit,1046.816665649414,466.8333129882813,TEXTAREA,,1603,TF_02.csv,Fiori,,,,,
114,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][16]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='EM'][1]/*[name()='BUTTON'][1],em:nth-child(1) > button:nth-child(1),2022-07-22T10:36:03.391Z,,1095.0,601.0,BUTTON,Übernehmen,1603,TF_02.csv,Fiori,,,,,Übernehmen
115,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][3]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='EM'][1]/*[name()='BUTTON'][1],em:nth-child(1) > button:nth-child(1),2022-07-22T10:36:05.434Z,,1824.0,53.0,BUTTON,&nbsp,1603,TF_02.csv,Fiori,,,,,&nbsp
127,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2],tr:nth-child(1) > td:nth-child(2),2022-07-22T10:35:48.728Z,,519.0,99.0,TD,,3,TF_02.csv,Fiori,,,,,
128,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][12]/*[name()='UL'][1]/*[name()='LI'][2]/*[name()='A'][1],li:nth-child(1) > a:nth-child(1),2022-07-22T10:35:50.181Z,,541.0,153.0,A,,3,TF_02.csv,Fiori,,,,,
129,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T10:35:51.832Z,,949.0,389.0,INPUT,,3,TF_02.csv,Fiori,,,,,
130,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='INPUT'][1],td:nth-child(1) > input:nth-child(1),2022-07-22T10:35:56.637Z,new_structural_unit,1043.816665649414,384.0,INPUT,,3,TF_02.csv,Fiori,,,,,
131,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][17]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][3]/*[name()='TD'][2]/*[name()='TEXTAREA'][1],td:nth-child(1) > textarea:nth-child(1),2022-07-22T10:35:56.721Z,,954.0,459.0,TEXTAREA,,3,TF_02.csv,Fiori,,,,,
132,input,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][16]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][3]/*[name()='TD'][2]/*[name()='TEXTAREA'][1],td:nth-child(1) > textarea:nth-child(1),2022-07-22T10:36:03.304Z,this is a structural unit,1046.816665649414,466.8333129882813,TEXTAREA,,3,TF_02.csv,Fiori,,,,,
133,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][16]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='EM'][1]/*[name()='BUTTON'][1],em:nth-child(1) > button:nth-child(1),2022-07-22T10:36:03.391Z,,1095.0,601.0,BUTTON,Übernehmen,3,TF_02.csv,Fiori,,,,,Übernehmen
134,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][3]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2]/*[name()='EM'][1]/*[name()='BUTTON'][1],em:nth-child(1) > button:nth-child(1),2022-07-22T10:36:05.434Z,,1824.0,53.0,BUTTON,&nbsp,3,TF_02.csv,Fiori,,,,,&nbsp
212,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][2]/*[name()='DIV'][2]/*[name()='DIV'][1]/*[name()='DIV'][3]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='DIV'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][1]/*[name()='TABLE'][1]/*[name()='TBODY'][1]/*[name()='TR'][1]/*[name()='TD'][2],tr:nth-child(1) > td:nth-child(2),2022-07-22T10:35:48.728Z,,519.0,99.0,TD,,1203,TF_02.csv,Fiori,,,,,
213,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][12]/*[name()='UL'][1]/*[name()='LI'][2]/*[name()='A'][1],li:nth-child(1) > a:nth-child(1),2022-07-22T10:35:50.181Z,,541.0,153.0,A,,1203,TF_02.csv,Fiori,,,,,
214,click,/*[name()='HTML']/*[name()='BODY'][1]/*[name()='DIV'][12]/*[name()='UL'][1]/*[name()='LI'][2]/*[name()='A'][1],li:nth-child(1) > a:nth-child(1),2022-07-22T10:35:50.181Z,,541.0,153.0,A,,1203,TF_02.csv,Fiori,,,,,
